C (GPa),dP/dh (N/m),Wp/Wt,hm (um),Er (GPa),sy (GPa)
96.97465916,198197.8905,0.717572203,0.304644432,109.63,1.121
74.81004713,203357.5175,0.718689982,0.346849216,109.63,1.121
83.92504125,207365.208,0.735517105,0.327473673,109.63,1.121
99.32039527,206886.4219,0.721123085,0.301025077,109.63,1.121
92.6337373,203383.717,0.736321977,0.311700634,109.63,1.121
119.8494749,200672.6043,0.696906096,0.274033986,109.63,1.121
89.21705829,210023.9674,0.744544635,0.317612887,109.63,1.121
102.1558161,207093.3624,0.730666074,0.296817971,109.63,1.121
92.8209632,204226.6482,0.725846129,0.311385736,109.63,1.121
93.48894634,206770.7078,0.736028203,0.310270845,109.63,1.121
93.90944053,210193.3072,0.744136061,0.309575051,109.63,1.121
98.92468906,203309.8188,0.728285115,0.301626142,109.63,1.121
98.99728408,197183.7353,0.718773746,0.301516734,109.63,1.121
84.59593044,210797.1565,0.7223787,0.326172073,109.63,1.121
96.87846178,204263.3968,0.735476619,0.304794755,109.63,1.121
95.40353428,206071.36,0.73414051,0.307142739,109.63,1.121
93.9348996,196839.7191,0.708116974,0.309533874,109.63,1.121
104.280738,197112.4767,0.706752122,0.293778092,109.63,1.121
97.79877643,205770.2247,0.724675081,0.303358425,109.63,1.121
116.3675478,200790.3054,0.717617817,0.2781038,109.63,1.121
95.06932172,204338.7046,0.731823383,0.307682016,109.63,1.121
96.44533373,206143.019,0.723503443,0.305479283,109.63,1.121
98.35999425,202486.8621,0.721792903,0.302491184,109.63,1.121
94.36981269,202023.3667,0.727715366,0.308820175,109.63,1.121
91.42626032,206051.823,0.732380894,0.313751665,109.63,1.121
96.24171738,197526.3809,0.7199892,0.305801958,109.63,1.121
92.20719988,202914.8372,0.728188682,0.312420855,109.63,1.121
99.65526866,198360.7927,0.728373632,0.300519328,109.63,1.121
103.8452837,201091.0081,0.72363085,0.294394008,109.63,1.121
98.73258669,200035.4423,0.717841232,0.301920152,109.63,1.121
93.80563639,200524.3191,0.73507453,0.309747506,109.63,1.121
99.07147601,198707.7182,0.724256176,0.301403371,109.63,1.121
91.65003677,206248.2081,0.733759737,0.313369143,109.63,1.121
93.00761323,196812.7914,0.729603199,0.311073789,109.63,1.121
106.2589228,194642.0882,0.715312967,0.291031084,109.63,1.121
88.777475,208457.8494,0.741872151,0.318397927,109.63,1.121
95.12830978,204196.7782,0.73433352,0.307585881,109.63,1.121
93.10865358,211252.628,0.729175514,0.310904636,109.63,1.121
103.1486452,204404.8226,0.724829203,0.295385942,109.63,1.121
99.5812928,202531.9754,0.73115309,0.30062981,109.63,1.121
97.63332116,197441.4551,0.713472278,0.303614955,109.63,1.121
96.49642342,203192.1704,0.730151436,0.305397305,109.63,1.121
92.49111607,205707.896,0.739037759,0.31194061,109.63,1.121
105.9257534,194118.5906,0.717353776,0.291488471,109.63,1.121
97.46734075,200783.9423,0.745932007,0.303873326,109.63,1.121
93.22775534,207431.7958,0.736504863,0.310704631,109.63,1.121
98.92357933,201230.6026,0.728944936,0.301627879,109.63,1.121
98.36787367,196338.8209,0.710647706,0.302478916,109.63,1.121
124.9133434,187462.6192,0.699423449,0.268421299,109.63,1.168
152.00798,191673.9727,0.703522348,0.24332584,109.63,1.168
144.8855068,196953.1755,0.702757991,0.249234952,109.63,1.168
141.4934101,194495.7642,0.710697475,0.252204889,109.63,1.168
146.4998148,191659.752,0.718834058,0.247858115,109.63,1.168
140.358297,196177.1273,0.723092637,0.253222896,109.63,1.168
137.3021434,198393.913,0.724325927,0.256025905,109.63,1.168
141.0228624,192264.3064,0.705910456,0.252625553,109.63,1.168
134.9102133,194843.1147,0.724574489,0.258284763,109.63,1.168
147.1985109,188882.7669,0.711637742,0.247269193,109.63,1.168
148.6191678,194141.4042,0.716325373,0.246084658,109.63,1.168
129.6800542,198318.5159,0.723304878,0.263442494,109.63,1.168
139.3341551,193835.333,0.705358035,0.254151195,109.63,1.168
115.8255178,193521.4636,0.705252204,0.278752909,109.63,1.168
139.1907915,197212.161,0.729015497,0.254282223,109.63,1.168
119.2543899,199391.9368,0.726793418,0.274715956,109.63,1.168
133.9509166,193647.8691,0.722228414,0.259208273,109.63,1.168
137.2411423,196556.8366,0.731822215,0.256081931,109.63,1.168
137.6647142,197496.8904,0.726467903,0.255687746,109.63,1.168
140.9836736,193420.6684,0.716838572,0.252660631,109.63,1.168
136.9504762,195728.7774,0.723544115,0.256354328,109.63,1.168
132.4047807,192126.6328,0.716665405,0.260717187,109.63,1.168
134.5188796,198006.124,0.721266765,0.258660277,109.63,1.168
153.1276243,189301.1414,0.718879322,0.242435044,109.63,1.168
119.1363404,200129.4671,0.720248923,0.274852293,109.63,1.168
146.9654904,190314.4447,0.712668738,0.247465215,109.63,1.168
144.2471,190984.234,0.713468948,0.249786194,109.63,1.168
132.9015382,195185.2414,0.72520276,0.26023029,109.63,1.168
145.3699968,193435.3656,0.715611198,0.248819478,109.63,1.168
138.4681969,195207.2066,0.723824061,0.25494508,109.63,1.168
122.9293145,206909.3138,0.740425758,0.27057858,109.63,1.168
139.2634052,194871.9991,0.715619069,0.25421551,109.63,1.168
137.49124,193897.8864,0.713440015,0.255849492,109.63,1.168
124.2503511,197783.8482,0.719473052,0.269136485,109.63,1.168
142.8921081,192926.1203,0.719376163,0.250967686,109.63,1.168
137.1852104,194116.634,0.716119875,0.256134527,109.63,1.168
137.5066792,195791.1109,0.713620602,0.255835515,109.63,1.168
138.0241184,193530.8609,0.710498329,0.25535514,109.63,1.168
141.8791321,193422.7523,0.722750909,0.251861847,109.63,1.168
136.7408203,196782.9733,0.721944782,0.256550311,109.63,1.168
134.0369962,192873.1762,0.711088858,0.259124932,109.63,1.168
125.6998771,198048.4413,0.74496645,0.267580034,109.63,1.168
135.466161,196624.509,0.717208044,0.257754733,109.63,1.168
144.4077876,194937.6204,0.707818713,0.249647258,109.63,1.168
135.3097899,188777.781,0.709592111,0.257903579,109.63,1.168
130.7756514,191791.881,0.727040281,0.262335609,109.63,1.168
129.4428378,201183.3488,0.724423777,0.263683565,109.63,1.168
145.1280655,188577.5953,0.714341595,0.249027027,109.63,1.168
138.7652436,197626.9894,0.713167774,0.254671604,109.63,1.168
137.7013095,189793.522,0.711443142,0.255653751,109.63,1.168
136.92757,199646.5821,0.730971716,0.256374887,109.63,1.168
131.9122492,207237.6791,0.726388178,0.261204127,109.63,1.168
141.3019357,198638.761,0.712143451,0.252375394,109.63,1.168
142.6554181,192460.8396,0.716844031,0.25117533,109.63,1.168
153.816655,192424.0044,0.706145568,0.241891568,109.63,1.168
127.4675435,199196.1456,0.736700746,0.26571847,109.63,1.168
142.1649221,198664.3855,0.718984329,0.251608335,109.63,1.168
148.1893192,192092.5543,0.705149976,0.246441207,109.63,1.168
131.5674053,197437.8535,0.724486862,0.261546355,109.63,1.168
134.7777422,197947.7592,0.736624352,0.258412188,109.63,1.168
132.6238284,195517.0796,0.709768763,0.260501539,109.63,1.168
138.9570625,196014.7405,0.726540728,0.254496291,109.63,1.168
143.8355472,201308.8442,0.713142007,0.250143085,109.63,1.168
147.9374296,192613.5297,0.713237374,0.246650896,109.63,1.168
136.481979,193801.5648,0.727152393,0.256793604,109.63,1.168
142.9581849,198023.7655,0.708680154,0.250909687,109.63,1.168
127.4349903,192174.4901,0.717107616,0.26575307,109.63,1.168
135.3033458,197029.2363,0.719212562,0.257909456,109.63,1.168
143.479695,195447.4728,0.713436729,0.25045266,109.63,1.168
136.4415042,201398.9,0.722877861,0.256831619,109.63,1.168
137.2876027,195301.4025,0.717230258,0.256039134,109.63,1.168
139.41427,204971.8313,0.725159867,0.254079049,109.63,1.168
145.8186046,199169.02,0.711452566,0.248436253,109.63,1.168
136.6156042,198591.8002,0.724525364,0.256667712,109.63,1.168
135.4241608,195112.4795,0.720477639,0.257794031,109.63,1.168
142.5521747,198675.89,0.70738482,0.251266251,109.63,1.168
125.3489716,196983.7882,0.701079497,0.267955035,109.63,1.168
138.3467819,193596.0299,0.723310679,0.25505644,109.63,1.168
131.7624505,198056.1202,0.71938626,0.261352157,109.63,1.168
135.6293995,194641.6379,0.709826944,0.257599555,109.63,1.168
146.8256026,195220.5989,0.722180161,0.247582683,109.63,1.168
148.0404366,195189.6095,0.720761743,0.246565244,109.63,1.168
139.4340262,195365.4376,0.714892967,0.254060691,109.63,1.168
126.1194202,207014.6466,0.739738113,0.267135175,109.63,1.168
143.374731,198520.4501,0.714302855,0.250544867,109.63,1.168
135.4808689,198502.7834,0.729187869,0.257740576,109.63,1.168
135.6328716,194225.3165,0.714963962,0.257596512,109.63,1.168
145.8276671,200040.4758,0.724308338,0.248428918,109.63,1.168
99.25094376,194664.9164,0.71787182,0.301130898,109.63,1.168
144.7644657,191989.0165,0.702492948,0.249339638,109.63,1.168
148.678916,195922.3629,0.718353196,0.246035011,109.63,1.168
145.1387486,197384.715,0.708062395,0.24901759,109.63,1.168
140.876972,202018.3345,0.714219994,0.25275628,109.63,1.168
107.1136215,203804.7386,0.727012984,0.289867606,109.63,1.168
138.9828404,195082.4202,0.714840822,0.254471907,109.63,1.168
146.0467449,192424.1344,0.703515504,0.248242497,109.63,1.168
149.1232621,195556.5483,0.716007774,0.245667873,109.63,1.168
126.8979212,203191.1846,0.724237289,0.26631392,109.63,1.168
144.9452264,195740.5336,0.71944051,0.249183745,109.63,1.168
115.8144344,189934.0218,0.709116069,0.278766669,109.63,1.168
135.6149774,194729.1584,0.714400004,0.257613328,109.63,1.168
148.2981616,193488.0265,0.717831199,0.246349955,109.63,1.168
138.9662896,198547.4641,0.714078995,0.254488115,109.63,1.168
149.5992014,195199.3622,0.705094601,0.245276986,109.63,1.168
136.9435428,195420.0743,0.725254976,0.256360911,109.63,1.168
104.8139793,188623.9544,0.697845033,0.293030093,109.63,1.168
120.365349,203765.2875,0.737909638,0.273445127,109.63,1.168
136.4860201,197553.6955,0.717658896,0.256790111,109.63,1.168
137.0656258,197333.0132,0.711071915,0.256246591,109.63,1.168
146.821663,194947.883,0.721392153,0.24758672,109.63,1.168
137.2949589,206244.8902,0.73049358,0.256032647,109.63,1.168
138.9154695,200473.3582,0.730790662,0.254534917,109.63,1.168
150.6430731,188590.6369,0.714916361,0.244425609,109.63,1.168
137.1703806,191330.6851,0.726021801,0.256148699,109.63,1.168
136.2610039,193943.9633,0.722753237,0.257002054,109.63,1.168
139.8655148,194629.5637,0.719420814,0.253668702,109.63,1.168
136.1060073,195988.5694,0.722822647,0.257148001,109.63,1.168
137.4462331,193804.3044,0.718557716,0.25589074,109.63,1.168
140.1931352,196410.6252,0.728880795,0.253371682,109.63,1.168
150.5349916,199845.2194,0.712587409,0.244513688,109.63,1.168
136.8726684,197359.4359,0.715004295,0.256426807,109.63,1.168
144.1519419,193728.186,0.700823333,0.24986892,109.63,1.168
143.9818058,198341.6209,0.721318431,0.250015817,109.63,1.168
136.0413088,191662.9512,0.715339895,0.257209015,109.63,1.168
133.1818503,197903.863,0.7346675,0.259955754,109.63,1.168
138.2233476,193656.8063,0.709001964,0.255170728,109.63,1.168
140.2218341,194885.2712,0.722906576,0.253345863,109.63,1.168
138.9223405,193891.6184,0.715198985,0.254527885,109.63,1.168
144.3204176,194667.8973,0.721246666,0.249722457,109.63,1.168
132.5962017,195993.2762,0.712800325,0.260529229,109.63,1.168
138.6174794,193318.568,0.703565742,0.254807655,109.63,1.168
134.8886998,194071.7795,0.712267115,0.258306015,109.63,1.168
139.7873466,191802.1234,0.711513347,0.253739391,109.63,1.168
129.7701836,203270.5007,0.73965023,0.263350717,109.63,1.168
131.2206444,198020.2462,0.726401267,0.261890978,109.63,1.168
148.3309851,192896.4344,0.707813265,0.246323033,109.63,1.168
139.8509367,195289.4032,0.711699676,0.253681637,109.63,1.168
137.521067,189692.3756,0.700146935,0.255821741,109.63,1.168
149.7871004,193056.9693,0.709170635,0.245122665,109.63,1.168
132.6915318,198853.5897,0.717189064,0.260435209,109.63,1.168
118.3322342,203728.2098,0.740068177,0.27578432,109.63,1.168
130.4504379,195414.3658,0.721438123,0.262663106,109.63,1.168
137.3044534,197907.1732,0.719666276,0.256022989,109.63,1.168
147.3014699,198538.2463,0.721326784,0.247182722,109.63,1.168
88.99932044,187462.6191,0.699423449,0.318000677,109.63,1.168
104.6990623,191673.9726,0.703522348,0.293190591,109.63,1.168
